Marvelmind X,Marvelmind Y,Fake Marvel X,Fake Marvel Y,Realsense X,Realsense Y
4.7,-1.4,0,0,-0.0,-0.0
4.7,-1.4,0,0,-0.0,-0.0
4.7,-1.4,0,0,-0.0,-0.0
4.7,-1.4,0,0,-0.0,-0.0
4.7,-1.4,0,0,-0.0,-0.0
4.7,-1.4,0,0,-0.0,-0.0
4.69,-1.39,0,0,-0.0,-0.0
4.67,-1.39,0,0,-0.0,-0.0
4.67,-1.39,0,0,-0.0,-0.0
4.65,-1.38,0,0,-0.0,-0.0
4.62,-1.37,0,0,-0.0,-0.0
4.62,-1.37,0,0,-0.0,-0.0
4.59,-1.37,0,0,-0.0,-0.0
4.56,-1.36,0,0,-0.0,-0.0
4.53,-1.36,0,0,-0.0,-0.0
4.53,-1.36,0,0,-0.0,-0.0
4.5,-1.35,0,0,-0.0,-0.0
4.47,-1.35,0,0,-0.0,-0.0
4.47,-1.35,0,0,-0.0,-0.0
4.44,-1.35,0,0,-0.0,-0.0
4.41,-1.34,0,0,-0.0,-0.0
4.41,-1.34,0,0,-0.0,-0.0
4.38,-1.34,0,0,-0.0,-0.0
4.35,-1.33,0,0,-0.0,-0.0
4.32,-1.32,0,0,-0.0,-0.0
4.32,-1.32,0,0,-0.0,-0.0
4.29,-1.32,0,0,-0.0,-0.0
4.26,-1.32,0,0,-0.0,-0.0
4.26,-1.32,0,0,-0.0,-0.0
4.23,-1.31,0,0,-0.0,-0.0
4.2,-1.31,0,0,-0.0,-0.0
4.17,-1.3,0,0,-0.0,-0.0
4.17,-1.3,0,0,-0.0,-0.0
4.13,-1.3,0,0,-0.0,-0.0
4.1,-1.3,0,0,-0.0,-0.0
4.1,-1.3,0,0,-0.0,-0.0
4.07,-1.3,0,0,-0.0,-0.0
4.0,-1.3,0,0,-0.0,-0.0
4.0,-1.3,0,0,-0.0,-0.0
4.0,-1.3,0,0,-0.0,-0.0
3.96,-1.3,0,0,-0.0,-0.0
3.93,-1.3,0,0,-0.0,-0.0
3.93,-1.3,0,0,-0.0,-0.0
3.9,-1.3,0,0,-0.0,-0.0
3.87,-1.29,0,0,-0.0,-0.0
3.7,-1.21,3.78,-1.22,0.04,0.93
3.7,-1.21,3.78,-1.19,0.07,0.94
3.7,-1.21,3.76,-1.19,0.07,0.96
3.69,-1.23,3.74,-1.19,0.07,0.98
3.68,-1.24,3.72,-1.18,0.08,1.01
3.68,-1.24,3.7,-1.16,0.09,1.03
3.66,-1.23,3.68,-1.14,0.11,1.05
3.64,-1.21,3.67,-1.12,0.12,1.06
3.62,-1.17,3.65,-1.11,0.14,1.09
3.62,-1.17,3.63,-1.09,0.15,1.11
3.6,-1.13,3.61,-1.07,0.17,1.13
3.56,-1.1,3.59,-1.05,0.18,1.15
3.53,-1.07,3.57,-1.03,0.2,1.17
3.53,-1.07,3.55,-1.01,0.21,1.19
3.51,-1.05,3.53,-1.0,0.23,1.22
3.48,-1.02,3.51,-0.98,0.24,1.24
3.45,-1.0,3.49,-0.96,0.26,1.26
3.45,-1.0,3.47,-0.95,0.27,1.28
3.42,-0.98,3.45,-0.93,0.28,1.3
3.39,-0.96,3.43,-0.91,0.3,1.33
3.36,-0.94,3.41,-0.89,0.31,1.35
3.33,-0.91,3.39,-0.88,0.32,1.38
3.33,-0.91,3.37,-0.86,0.34,1.39
3.3,-0.89,3.35,-0.84,0.36,1.42
3.27,-0.86,3.32,-0.82,0.37,1.45
3.24,-0.84,3.3,-0.81,0.38,1.47
3.24,-0.84,3.28,-0.79,0.4,1.5
3.21,-0.82,3.26,-0.77,0.41,1.52
3.17,-0.79,3.23,-0.75,0.43,1.54
3.15,-0.77,3.21,-0.74,0.44,1.57
3.15,-0.77,3.19,-0.72,0.45,1.59
3.12,-0.76,3.17,-0.71,0.47,1.61
3.09,-0.74,3.14,-0.69,0.48,1.64
3.06,-0.73,3.12,-0.67,0.5,1.67
3.04,-0.71,3.1,-0.65,0.51,1.69
3.04,-0.71,3.07,-0.63,0.53,1.72
3.01,-0.69,3.06,-0.62,0.54,1.74
2.98,-0.67,3.03,-0.6,0.55,1.77
2.95,-0.65,3.01,-0.58,0.56,1.79
2.95,-0.65,2.99,-0.56,0.58,1.82
2.92,-0.63,2.96,-0.55,0.59,1.84
2.89,-0.61,2.94,-0.53,0.6,1.86
2.85,-0.59,2.92,-0.52,0.61,1.89
2.85,-0.59,2.9,-0.5,0.63,1.91
2.82,-0.56,2.88,-0.49,0.64,1.93
2.8,-0.53,2.85,-0.47,0.66,1.96
2.75,-0.52,2.84,-0.45,0.67,1.98
2.75,-0.52,2.82,-0.43,0.68,2.0
2.71,-0.5,2.8,-0.42,0.7,2.03
2.68,-0.47,2.77,-0.4,0.71,2.05
2.64,-0.45,2.75,-0.39,0.72,2.08
2.64,-0.45,2.72,-0.37,0.73,2.1
2.62,-0.42,2.7,-0.35,0.75,2.13
2.59,-0.39,2.68,-0.34,0.76,2.15
2.55,-0.37,2.66,-0.32,0.77,2.18
2.52,-0.35,2.64,-0.31,0.78,2.2
2.52,-0.35,2.61,-0.3,0.79,2.22
2.49,-0.33,2.59,-0.28,0.8,2.25
2.42,-0.28,2.55,-0.25,0.83,2.3
4.13,-0.04,2.53,-0.07,1.0,2.34
2.83,-0.07,2.54,-0.07,1.01,2.33
2.22,-0.09,2.55,-0.06,1.01,2.32
2.22,-0.09,2.55,-0.06,1.01,2.32
2.12,-0.09,2.55,-0.06,1.01,2.32
2.23,-0.09,2.56,-0.06,1.02,2.31
2.3,-0.09,2.57,-0.05,1.02,2.31
2.3,-0.09,2.57,-0.05,1.03,2.3
2.32,-0.07,2.58,-0.05,1.03,2.29
2.35,-0.05,2.58,-0.05,1.03,2.29
2.39,-0.03,2.58,-0.05,1.03,2.29
2.39,-0.03,2.58,-0.05,1.03,2.29
2.43,-0.01,2.59,-0.05,1.04,2.29
2.47,0.0,2.59,-0.04,1.04,2.28
2.51,0.02,2.59,-0.04,1.04,2.29
2.51,0.02,2.59,-0.04,1.04,2.28
2.55,0.04,2.59,-0.04,1.04,2.28
2.59,0.07,2.59,-0.04,1.04,2.28
2.63,0.08,2.6,-0.04,1.04,2.28
2.63,0.08,2.6,-0.04,1.04,2.28
2.67,0.1,2.6,-0.04,1.04,2.28
2.71,0.12,2.6,-0.04,1.04,2.27
2.75,0.13,2.6,-0.04,1.04,2.27
2.78,0.15,2.6,-0.04,1.04,2.27
2.78,0.15,2.61,-0.04,1.05,2.27
2.82,0.17,2.61,-0.04,1.05,2.26
2.86,0.2,2.61,-0.04,1.05,2.26
2.9,0.23,2.61,-0.04,1.05,2.26
2.9,0.23,2.62,-0.03,1.05,2.26
2.94,0.25,2.62,-0.03,1.05,2.26
2.98,0.26,2.62,-0.03,1.05,2.26
